architecture_type,deployment_type,communication_type,num_services,num_databases,requests_per_second,avg_payload_kb,read_write_ratio,peak_traffic_multiplier,cpu_utilization_percent,memory_utilization_percent,network_latency_ms,packet_loss_percent,avg_latency_ms,p95_latency_ms,error_rate_percent,db_connection_pool_exhausted,retry_storm_detected,circuit_breaker_open,system_state,root_cause
Option C,Option A,Option B,11,UNKNOWN,1649.02,2,0.79,1,77,45,375.01,1.33,1338.18,480.31,15.14,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option C,Option B,36,UNKNOWN,1386.78,96,0.58,1,40,87,104.4,2.7,1133.34,2556.26,3.19,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option A,Option C,16,UNKNOWN,1666.63,21,0.81,4,69,72,22.01,1.96,152.97,1095.37,34.37,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option C,Option A,48,UNKNOWN,639.28,27,0.87,1,64,78,272.79,1.04,895.84,2307.21,13.46,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option A,Option B,53,UNKNOWN,3042.85,21,0.57,2,31,80,113.82,1.69,1417.32,1788.58,29.77,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option C,Option C,Option B,43,UNKNOWN,1502.72,43,0.59,4,87,74,113.51,2.92,1359.13,194.66,47.06,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option B,Option B,52,UNKNOWN,1624.19,22,0.78,2,72,15,350.6,1.55,512.5,2387.2,40.14,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option C,Option C,25,UNKNOWN,2057.01,43,0.68,2,35,93,298.63,1.51,1409.67,2719.22,31.97,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option B,Option B,54,UNKNOWN,1305.91,145,0.93,1,80,24,248.69,1.1,891.14,643.94,11.0,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option C,Option B,1,UNKNOWN,2892.97,73,0.67,2,76,75,21.22,0.13,1448.53,927.06,43.34,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option A,Option A,28,UNKNOWN,827.73,44,0.5,2,74,79,1.86,0.76,861.3,1670.52,26.13,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option C,Option C,25,UNKNOWN,2969.54,52,0.62,1,67,97,65.04,1.8,1410.57,55.88,5.33,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option B,Option C,26,UNKNOWN,1677.61,59,0.78,2,11,62,35.18,2.93,923.87,120.7,25.45,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option C,Option B,21,UNKNOWN,934.02,49,0.9,4,2,30,142.95,1.06,176.8,2219.66,0.55,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option A,Option A,9,UNKNOWN,486.84,39,0.46,3,9,1,157.1,0.83,803.43,1691.42,7.2,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option A,Option C,33,UNKNOWN,767.85,74,0.87,3,20,15,19.17,2.03,1055.82,2424.59,17.61,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option B,Option C,Option B,37,UNKNOWN,3185.99,5,0.93,4,84,39,64.32,0.14,1411.28,2728.85,15.55,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option B,Option A,17,UNKNOWN,2739.99,65,0.77,3,61,13,168.97,0.62,1215.29,3019.88,42.13,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option C,5,UNKNOWN,2211.03,4,0.84,4,76,14,333.35,1.91,990.87,1449.71,26.42,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option C,Option C,38,UNKNOWN,940.67,2,0.56,3,77,41,307.41,2.88,1483.32,2083.14,39.69,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option B,Option C,27,UNKNOWN,1991.43,112,0.47,1,68,29,263.94,2.85,802.4,737.02,33.95,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option B,Option C,25,UNKNOWN,2297.32,134,0.72,2,94,53,335.77,2.33,407.24,2618.32,12.67,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option C,52,UNKNOWN,538.5,115,0.65,3,90,25,91.19,0.36,1070.41,2966.17,32.03,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option C,Option C,35,UNKNOWN,1734.36,135,0.76,1,16,16,277.35,2.67,544.24,2581.52,8.94,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option B,Option C,16,UNKNOWN,1151.39,49,0.84,3,74,8,395.72,1.42,802.58,547.14,27.92,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option C,39,UNKNOWN,2055.26,117,0.88,3,70,95,222.3,1.78,1379.63,2959.88,45.75,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option B,45,UNKNOWN,371.25,123,0.89,3,46,19,347.97,0.27,133.31,1636.6,31.14,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option C,Option A,43,UNKNOWN,1571.12,101,0.54,3,89,64,0.21,0.95,727.55,1591.17,17.39,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option A,52,UNKNOWN,2022.56,23,0.58,1,78,15,225.67,1.13,141.47,1468.2,4.97,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option B,Option A,55,UNKNOWN,1437.93,97,0.8,1,9,99,326.99,0.36,534.76,1981.05,18.85,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option B,3,UNKNOWN,2433.5,24,0.84,3,18,18,18.81,1.52,131.44,1394.65,26.46,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option A,Option B,45,UNKNOWN,2469.64,75,0.43,2,2,43,278.23,1.35,1254.99,2432.98,14.61,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option C,Option C,32,UNKNOWN,2612.5,5,0.95,3,91,34,217.28,2.54,1313.48,2177.85,20.51,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option A,Option B,4,UNKNOWN,1397.01,124,0.41,4,76,6,260.5,1.78,469.4,1246.48,5.89,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option A,Option C,46,UNKNOWN,1293.62,145,0.5,1,46,53,303.13,2.35,846.73,754.45,27.04,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option C,Option C,41,UNKNOWN,1330.29,85,0.64,3,41,76,147.38,0.36,1415.98,1305.86,18.13,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option C,Option B,17,UNKNOWN,2635.1,119,0.51,3,94,5,135.57,0.28,1496.16,2299.07,39.46,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option A,Option B,6,UNKNOWN,1844.58,49,0.44,3,53,5,246.06,0.47,604.69,533.55,14.76,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option A,Option B,22,UNKNOWN,1590.0,103,0.81,3,59,5,86.81,0.49,443.43,2978.38,3.57,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option A,Option A,48,UNKNOWN,2177.3,52,0.52,3,51,30,221.73,1.93,1373.56,498.43,2.12,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option B,Option B,59,UNKNOWN,124.88,82,0.87,4,32,12,83.9,0.69,818.21,2786.95,43.02,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option A,Option A,24,UNKNOWN,2537.74,91,0.6,3,3,3,309.09,0.88,1137.83,590.74,13.18,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option C,Option C,37,UNKNOWN,1890.53,61,0.61,4,30,98,305.4,0.42,954.31,890.39,28.14,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option B,Option A,Option B,33,UNKNOWN,1817.41,21,0.48,2,71,8,242.46,2.82,156.27,876.21,5.29,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option C,Option B,46,UNKNOWN,2171.94,62,0.73,2,46,62,91.08,1.54,1418.35,1257.27,16.37,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option B,Option C,Option C,1,UNKNOWN,2367.75,70,0.77,1,33,41,46.06,1.87,636.8,665.5,31.86,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option C,Option B,44,UNKNOWN,737.02,129,0.77,3,47,69,122.71,2.42,385.03,665.47,21.63,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option C,Option B,46,UNKNOWN,1529.6,8,0.87,2,77,47,295.53,2.52,399.76,3047.86,12.55,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option B,10,UNKNOWN,628.15,64,0.76,3,4,74,1.7,0.03,1383.28,1460.91,37.66,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option B,Option A,20,UNKNOWN,272.28,64,0.63,2,76,36,372.62,2.94,885.31,230.45,10.04,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option B,Option C,Option B,21,UNKNOWN,451.1,116,0.69,3,50,94,380.29,1.43,974.44,581.47,43.95,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option B,Option A,2,UNKNOWN,2873.58,49,0.74,2,64,50,188.2,2.08,1021.28,1854.0,9.48,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option B,Option A,23,UNKNOWN,894.89,125,0.44,4,30,36,132.19,2.28,670.97,743.55,14.39,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option B,Option B,49,UNKNOWN,1220.49,122,0.65,3,100,69,71.6,0.29,356.85,2482.78,12.29,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option B,Option A,20,UNKNOWN,2662.52,12,0.91,1,71,32,37.62,0.49,1492.07,2698.1,32.86,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option B,Option A,12,UNKNOWN,2889.99,26,0.88,3,27,95,74.18,2.28,372.83,2270.26,20.3,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option C,Option B,15,UNKNOWN,2957.08,110,0.52,2,86,85,173.52,2.25,1426.29,2471.41,22.28,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option A,Option A,17,UNKNOWN,2332.47,139,0.66,3,3,87,58.86,1.19,1200.74,1399.93,32.21,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option B,Option A,40,UNKNOWN,2758.89,44,0.73,2,97,3,394.96,2.64,504.15,1883.09,47.99,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option A,Option B,5,UNKNOWN,1608.69,71,0.65,4,12,8,74.91,2.45,1504.23,2059.12,48.97,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option A,Option C,41,UNKNOWN,360.89,23,0.85,3,94,36,104.5,0.87,652.71,2464.78,12.11,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option A,Option C,12,UNKNOWN,2082.39,82,0.93,1,14,5,165.68,1.29,437.65,2334.86,22.99,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option B,32,UNKNOWN,967.27,112,0.85,2,48,25,188.26,1.38,1258.67,2521.82,45.88,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option A,Option C,17,UNKNOWN,3021.38,93,0.58,4,65,97,392.73,1.37,1107.01,1869.04,3.92,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option B,Option B,16,UNKNOWN,2049.46,26,0.67,3,12,26,183.06,1.16,1283.51,515.51,5.75,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option C,6,UNKNOWN,2296.57,90,0.75,3,13,16,296.45,0.57,970.46,214.68,1.18,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option A,Option B,34,UNKNOWN,2186.78,81,0.76,2,86,53,344.35,0.75,997.32,2778.76,7.73,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option C,Option C,40,UNKNOWN,836.59,128,0.8,1,20,51,64.12,0.56,466.44,2946.67,12.1,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option A,Option B,45,UNKNOWN,1835.03,101,0.55,4,97,43,153.87,1.63,974.37,153.27,36.41,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option C,Option B,20,UNKNOWN,1382.99,108,0.84,1,36,68,90.35,2.87,369.29,1728.38,34.92,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option B,Option B,Option A,55,UNKNOWN,1606.44,14,0.8,4,63,96,321.27,1.85,903.46,3092.57,32.27,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option B,Option B,Option C,11,UNKNOWN,1395.17,5,0.69,1,29,50,165.92,1.83,1255.17,1869.38,9.09,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option B,Option A,8,UNKNOWN,2982.15,68,0.66,2,89,80,117.44,1.28,283.9,2622.01,46.96,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option C,Option A,Option A,1,UNKNOWN,878.04,20,0.8,2,13,81,118.98,2.26,987.44,1565.73,40.39,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option C,Option B,41,UNKNOWN,2744.02,145,0.72,3,82,93,272.3,0.38,312.74,920.6,19.09,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option B,11,UNKNOWN,1767.6,113,0.82,1,31,79,23.09,1.53,72.18,2330.32,15.41,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option A,Option A,38,UNKNOWN,970.92,63,0.85,1,20,19,70.53,1.27,248.03,215.11,47.05,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option C,Option A,4,UNKNOWN,1547.18,87,0.49,4,58,39,354.15,2.27,83.07,2493.91,7.51,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option C,Option A,18,UNKNOWN,2027.87,2,0.63,3,33,76,336.6,1.04,477.16,375.29,26.23,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option A,Option B,15,UNKNOWN,1656.54,65,0.66,2,10,98,128.26,1.13,335.05,2575.01,16.75,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option A,Option C,45,UNKNOWN,2385.17,107,0.8,2,69,34,310.16,1.59,846.28,119.45,28.84,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option C,Option B,10,UNKNOWN,2432.03,118,0.64,1,23,83,101.68,2.5,1162.04,2974.51,0.42,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option C,15,UNKNOWN,1900.88,12,0.86,4,73,19,130.38,0.91,678.05,2073.93,9.04,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option A,Option B,55,UNKNOWN,2837.38,118,0.7,2,30,15,206.21,1.33,1095.31,1157.55,43.16,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option A,Option B,29,UNKNOWN,1489.49,102,0.91,1,30,45,179.02,0.65,960.9,686.48,25.74,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option C,Option B,44,UNKNOWN,1957.36,41,0.82,1,90,21,78.57,2.18,735.4,1056.32,38.05,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option C,Option C,29,UNKNOWN,2170.86,135,0.92,4,17,81,236.47,0.76,138.81,2150.82,39.46,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option B,Option B,41,UNKNOWN,1439.9,2,0.44,1,77,67,175.07,0.02,1528.55,2118.11,7.09,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option C,Option B,26,UNKNOWN,1305.52,50,0.74,2,38,93,350.29,2.79,1496.75,1644.56,19.6,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option A,34,UNKNOWN,468.99,96,0.58,3,92,82,102.73,2.88,1305.57,1631.37,14.36,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option B,Option C,Option A,17,UNKNOWN,1182.62,136,0.59,3,7,86,236.68,1.33,1015.65,2972.18,45.18,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option A,Option C,7,UNKNOWN,1031.28,17,0.62,1,40,84,47.24,1.68,410.06,988.73,43.14,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option A,Option C,47,UNKNOWN,2244.16,111,0.92,2,88,98,362.73,2.84,971.54,999.34,34.63,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option A,Option B,22,UNKNOWN,2227.57,125,0.48,2,66,30,204.03,0.93,165.26,2408.28,14.22,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option A,Option B,31,UNKNOWN,1775.95,99,0.46,2,34,33,73.8,1.37,1337.57,164.69,43.58,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option C,Option B,Option C,22,UNKNOWN,2129.77,77,0.56,3,67,47,87.91,0.7,380.24,1307.55,2.5,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option A,9,UNKNOWN,2689.15,99,0.74,1,78,7,19.78,2.11,513.17,1266.94,6.91,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option A,Option B,45,UNKNOWN,2039.38,108,0.88,2,67,100,392.74,2.49,798.83,170.94,2.75,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option B,Option C,3,UNKNOWN,1491.69,3,0.45,3,59,80,8.65,2.07,817.13,515.0,38.73,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option C,Option B,8,UNKNOWN,796.65,137,0.5,4,36,1,102.58,1.97,1370.41,1589.11,2.08,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option B,Option B,25,UNKNOWN,2769.79,123,0.66,3,17,55,156.24,2.22,637.4,3100.61,27.28,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option C,Option B,Option A,58,UNKNOWN,1278.97,72,0.82,2,78,19,224.6,0.82,779.46,777.72,24.92,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option A,Option A,54,UNKNOWN,3070.64,79,0.41,2,92,73,126.9,0.12,1355.57,2089.59,18.13,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option A,Option A,36,UNKNOWN,3113.44,32,0.95,4,22,91,396.0,0.94,996.77,691.15,32.77,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option A,Option A,40,UNKNOWN,739.14,87,0.63,1,31,23,290.48,1.36,535.32,634.37,11.42,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option A,Option A,51,UNKNOWN,1958.83,66,0.5,4,7,36,299.45,0.28,264.63,1356.68,4.58,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option C,30,UNKNOWN,1172.75,36,0.41,4,92,86,226.68,0.11,918.27,740.49,26.38,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option C,3,UNKNOWN,2304.74,79,0.77,2,28,81,75.75,0.08,1362.26,1566.68,26.26,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option C,Option A,34,UNKNOWN,578.45,137,0.54,3,13,81,221.06,0.13,354.03,440.61,19.1,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option A,Option A,33,UNKNOWN,444.1,127,0.68,4,26,49,222.33,2.31,588.16,2403.91,46.4,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option A,Option C,53,UNKNOWN,39.46,46,0.82,4,30,3,326.13,0.1,665.26,417.37,36.91,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option C,28,UNKNOWN,1488.46,71,0.47,4,92,89,279.66,2.6,319.54,1458.74,34.35,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option A,51,UNKNOWN,628.12,10,0.86,2,36,41,114.08,0.12,717.52,90.54,47.67,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option B,Option C,31,UNKNOWN,1701.14,31,0.7,3,2,57,65.78,2.4,501.02,828.23,34.75,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option B,Option A,3,UNKNOWN,68.79,42,0.66,4,71,29,312.57,0.45,198.55,2755.42,8.24,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option C,Option B,9,UNKNOWN,3106.79,107,0.51,3,16,43,360.95,0.98,66.88,87.25,34.13,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option C,Option B,22,UNKNOWN,1540.9,134,0.88,1,96,48,331.49,2.06,1126.4,2600.0,29.23,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
