LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn
804771,UID-86546,Yes,No,Yes,63,Yes,Option C,Option B,Option C,Option C,Option B,Option A,Option B,Option C,Option B,No,Option A,24.38,UID-29951,No
831868,UID-27474,Yes,Yes,No,67,No,Option A,Option C,Option C,Option C,Option C,Option B,Option A,Option A,Option A,No,Option C,39.82,UID-44896,Yes
342194,UID-40659,Yes,Yes,Yes,65,Yes,Option A,Option A,Option A,Option C,Option B,Option A,Option B,Option A,Option C,Yes,Option C,54.73,UID-36444,Yes
563241,UID-69245,No,No,No,55,Yes,Option A,Option B,Option A,Option A,Option A,Option B,Option A,Option B,Option B,Yes,Option B,50.07,UID-49685,No
285871,UID-78601,No,Yes,Yes,50,No,Option A,Option B,Option C,Option B,Option B,Option C,Option A,Option C,Option B,No,Option B,92.73,UID-70340,Yes
937746,UID-87344,Yes,Yes,No,6,No,Option C,Option A,Option B,Option A,Option C,Option C,Option B,Option B,Option A,No,Option A,106.39,UID-89707,No
842499,UID-75710,Yes,No,No,7,Yes,Option C,Option B,Option C,Option A,Option C,Option C,Option C,Option A,Option A,No,Option B,59.73,UID-80364,No
295357,UID-65422,No,No,No,29,No,Option C,Option B,Option C,Option C,Option A,Option A,Option C,Option C,Option A,Yes,Option A,50.03,UID-14763,No
357963,UID-12437,Yes,Yes,No,21,Yes,Option C,Option A,Option A,Option A,Option B,Option B,Option A,Option C,Option C,Yes,Option B,112.69,UID-70708,No
428684,UID-68926,No,Yes,No,5,No,Option A,Option C,Option C,Option C,Option C,Option C,Option A,Option C,Option B,Yes,Option A,50.5,UID-75786,No
166467,UID-74257,No,Yes,No,63,No,Option B,Option C,Option C,Option C,Option B,Option A,Option B,Option A,Option C,No,Option C,98.16,UID-23156,Yes
323312,UID-86245,Yes,No,Yes,58,Yes,Option B,Option B,Option C,Option C,Option B,Option A,Option B,Option C,Option A,Yes,Option C,34.3,UID-70363,Yes
166850,UID-33690,Yes,Yes,No,20,No,Option C,Option A,Option C,Option C,Option A,Option B,Option A,Option C,Option A,Yes,Option A,31.28,UID-16556,Yes
386646,UID-60893,No,No,No,23,Yes,Option B,Option B,Option C,Option A,Option B,Option C,Option A,Option B,Option B,Yes,Option C,54.65,UID-10488,Yes
475713,UID-48163,No,No,Yes,18,No,Option C,Option C,Option B,Option A,Option B,Option C,Option A,Option C,Option B,No,Option C,97.57,UID-95925,No
333313,UID-89165,No,Yes,Yes,32,No,Option C,Option A,Option C,Option B,Option C,Option B,Option C,Option C,Option C,No,Option C,69.65,UID-85556,No
435526,UID-99391,Yes,No,No,21,Yes,Option B,Option A,Option C,Option A,Option C,Option A,Option A,Option B,Option B,Yes,Option B,57.96,UID-62199,Yes
137915,UID-27566,No,Yes,No,42,Yes,Option B,Option A,Option B,Option C,Option A,Option A,Option B,Option A,Option C,Yes,Option C,37.67,UID-98310,Yes
468945,UID-53070,No,Yes,Yes,23,No,Option B,Option C,Option A,Option C,Option B,Option C,Option A,Option B,Option C,Yes,Option A,54.17,UID-28125,No
768761,UID-85056,No,No,Yes,14,Yes,Option B,Option C,Option C,Option A,Option C,Option B,Option A,Option B,Option B,No,Option A,49.63,UID-30064,No
774562,UID-41841,Yes,Yes,Yes,13,Yes,Option A,Option B,Option B,Option C,Option B,Option A,Option A,Option A,Option A,Yes,Option A,67.32,UID-75466,Yes
568991,UID-74372,No,Yes,Yes,46,No,Option C,Option B,Option A,Option C,Option C,Option A,Option A,Option B,Option C,No,Option A,34.26,UID-44932,No
593991,UID-84346,No,No,Yes,3,Yes,Option B,Option C,Option A,Option A,Option A,Option C,Option B,Option A,Option A,No,Option C,100.61,UID-25244,No
521696,UID-24027,Yes,No,Yes,15,Yes,Option A,Option B,Option A,Option C,Option B,Option B,Option A,Option A,Option A,Yes,Option A,86.43,UID-76058,No
628015,UID-50267,No,No,No,0,Yes,Option C,Option B,Option B,Option A,Option C,Option B,Option B,Option C,Option B,Yes,Option B,98.61,UID-45691,Yes
299675,UID-86837,Yes,No,Yes,11,No,Option B,Option A,Option C,Option C,Option B,Option C,Option C,Option C,Option C,No,Option C,104.24,UID-17464,No
452064,UID-95887,No,Yes,No,17,Yes,Option C,Option C,Option A,Option B,Option A,Option A,Option A,Option C,Option C,No,Option A,35.26,UID-23114,Yes
242444,UID-80919,Yes,Yes,No,43,No,Option B,Option B,Option A,Option B,Option C,Option B,Option B,Option A,Option B,Yes,Option A,69.74,UID-25811,Yes
266832,UID-34809,No,Yes,No,55,Yes,Option B,Option A,Option B,Option C,Option A,Option B,Option C,Option B,Option A,No,Option C,82.55,UID-56892,No
861004,UID-46072,No,No,Yes,70,No,Option C,Option B,Option B,Option A,Option B,Option C,Option C,Option B,Option B,Yes,Option A,91.4,UID-35924,Yes
543609,UID-70606,Yes,No,Yes,56,No,Option B,Option C,Option A,Option B,Option A,Option C,Option B,Option C,Option C,No,Option A,29.58,UID-50499,No
270666,UID-62097,No,No,No,13,No,Option B,Option C,Option B,Option A,Option C,Option A,Option A,Option A,Option A,Yes,Option A,110.49,UID-14487,Yes
602470,UID-75522,No,No,No,17,No,Option C,Option B,Option B,Option A,Option B,Option C,Option A,Option A,Option B,No,Option C,34.83,UID-10519,Yes
693994,UID-45765,No,Yes,Yes,22,Yes,Option A,Option C,Option B,Option C,Option B,Option A,Option A,Option B,Option B,Yes,Option A,52.7,UID-68542,Yes
205527,UID-28654,Yes,No,Yes,1,No,Option A,Option A,Option A,Option A,Option A,Option A,Option C,Option C,Option A,Yes,Option A,104.87,UID-53857,Yes
129199,UID-72416,No,Yes,Yes,34,Yes,Option B,Option B,Option A,Option C,Option B,Option A,Option B,Option B,Option B,Yes,Option A,103.2,UID-79228,No
333245,UID-99338,No,No,Yes,26,No,Option B,Option B,Option A,Option C,Option C,Option B,Option C,Option A,Option A,No,Option C,68.5,UID-27376,Yes
342879,UID-76207,No,No,No,29,No,Option B,Option B,Option B,Option C,Option B,Option C,Option B,Option A,Option C,No,Option C,47.83,UID-88103,Yes
105080,UID-69915,No,No,Yes,43,Yes,Option A,Option A,Option B,Option A,Option A,Option B,Option B,Option B,Option C,No,Option C,53.46,UID-86831,No
568009,UID-34773,Yes,No,Yes,67,Yes,Option B,Option C,Option B,Option C,Option A,Option B,Option A,Option C,Option B,No,Option B,88.34,UID-45831,No
851271,UID-49821,Yes,Yes,Yes,20,No,Option B,Option C,Option A,Option C,Option C,Option B,Option A,Option C,Option B,Yes,Option B,54.68,UID-58405,No
287069,UID-71817,Yes,No,No,23,Yes,Option C,Option A,Option B,Option C,Option B,Option B,Option A,Option C,Option B,Yes,Option C,70.29,UID-22223,No
860455,UID-32422,No,Yes,Yes,27,No,Option C,Option A,Option A,Option A,Option C,Option C,Option A,Option A,Option A,No,Option C,79.75,UID-67668,Yes
181453,UID-89550,Yes,No,Yes,11,Yes,Option A,Option B,Option A,Option A,Option A,Option A,Option B,Option B,Option C,No,Option C,36.78,UID-91701,Yes
564436,UID-60519,No,Yes,Yes,19,No,Option B,Option C,Option A,Option A,Option A,Option A,Option C,Option A,Option A,Yes,Option B,67.89,UID-66610,No
255627,UID-25660,No,Yes,No,37,Yes,Option A,Option B,Option A,Option C,Option B,Option C,Option A,Option B,Option A,Yes,Option A,104.68,UID-25767,No
422330,UID-97861,Yes,No,No,35,No,Option B,Option A,Option C,Option C,Option B,Option C,Option C,Option C,Option B,No,Option C,113.01,UID-51252,Yes
625107,UID-42257,No,Yes,Yes,16,Yes,Option A,Option B,Option B,Option C,Option C,Option C,Option B,Option C,Option B,Yes,Option A,93.4,UID-82673,No
961265,UID-70871,No,Yes,No,4,Yes,Option B,Option B,Option C,Option A,Option B,Option A,Option A,Option B,Option C,No,Option A,62.98,UID-90943,No
629457,UID-20481,Yes,Yes,No,71,No,Option A,Option A,Option B,Option B,Option B,Option C,Option C,Option C,Option C,Yes,Option C,83.34,UID-68939,No
676719,UID-65994,Yes,Yes,Yes,71,Yes,Option A,Option A,Option A,Option B,Option B,Option A,Option A,Option C,Option C,Yes,Option A,42.9,UID-86991,Yes
498351,UID-19115,No,Yes,Yes,27,No,Option B,Option C,Option C,Option C,Option B,Option C,Option C,Option A,Option A,No,Option A,20.3,UID-35131,No
741867,UID-26298,No,Yes,Yes,70,No,Option B,Option B,Option B,Option A,Option C,Option A,Option C,Option A,Option C,No,Option C,43.77,UID-89613,No
418651,UID-90976,No,Yes,No,68,No,Option B,Option B,Option C,Option C,Option C,Option A,Option B,Option A,Option A,No,Option C,46.49,UID-53117,Yes
691900,UID-67469,No,Yes,Yes,11,Yes,Option B,Option A,Option A,Option C,Option C,Option A,Option B,Option C,Option A,No,Option C,46.5,UID-37167,No
578194,UID-38459,No,Yes,No,69,No,Option A,Option A,Option B,Option C,Option B,Option A,Option B,Option B,Option A,No,Option A,51.97,UID-96835,Yes
317732,UID-51634,No,Yes,No,52,No,Option B,Option B,Option A,Option C,Option A,Option C,Option C,Option B,Option A,Yes,Option A,57.54,UID-81732,Yes
992127,UID-95353,No,No,No,9,Yes,Option B,Option A,Option A,Option B,Option A,Option A,Option C,Option B,Option C,Yes,Option C,117.14,UID-66909,Yes
835772,UID-35580,No,Yes,No,22,No,Option C,Option C,Option B,Option B,Option C,Option B,Option A,Option B,Option A,Yes,Option C,45.47,UID-19733,Yes
223934,UID-77566,No,No,No,71,No,Option A,Option A,Option B,Option C,Option A,Option A,Option B,Option B,Option B,Yes,Option A,108.51,UID-63087,No
403981,UID-50626,No,Yes,No,16,No,Option A,Option C,Option B,Option A,Option A,Option B,Option A,Option C,Option A,No,Option C,40.04,UID-25890,Yes
720619,UID-19666,No,No,Yes,71,No,Option B,Option C,Option A,Option A,Option A,Option A,Option B,Option A,Option B,Yes,Option C,49.06,UID-74686,No
202205,UID-10736,No,Yes,Yes,35,Yes,Option A,Option B,Option B,Option C,Option B,Option A,Option A,Option C,Option A,No,Option B,112.01,UID-25888,No
938461,UID-68115,No,No,Yes,55,Yes,Option B,Option B,Option C,Option A,Option C,Option C,Option A,Option A,Option C,Yes,Option C,47.42,UID-42616,Yes
371920,UID-61488,Yes,Yes,Yes,25,Yes,Option C,Option B,Option B,Option B,Option A,Option A,Option A,Option C,Option B,Yes,Option C,64.29,UID-68320,No
292183,UID-11998,Yes,No,Yes,30,Yes,Option A,Option A,Option B,Option A,Option B,Option C,Option B,Option B,Option C,No,Option C,62.21,UID-82397,No
114422,UID-30367,Yes,Yes,No,32,Yes,Option C,Option C,Option C,Option B,Option C,Option B,Option A,Option A,Option A,No,Option C,31.33,UID-65964,No
318105,UID-55147,Yes,Yes,No,8,Yes,Option A,Option B,Option A,Option B,Option B,Option B,Option A,Option B,Option A,No,Option C,84.12,UID-64454,No
870670,UID-94590,No,Yes,No,23,Yes,Option B,Option B,Option B,Option B,Option A,Option B,Option B,Option A,Option A,Yes,Option B,32.97,UID-73931,Yes
636224,UID-77914,Yes,No,Yes,8,No,Option A,Option B,Option C,Option B,Option C,Option A,Option A,Option C,Option B,No,Option B,89.93,UID-57428,No
112729,UID-49761,No,Yes,Yes,0,No,Option A,Option C,Option C,Option B,Option A,Option B,Option B,Option C,Option B,No,Option C,78.09,UID-98571,Yes
218819,UID-11776,Yes,Yes,No,27,Yes,Option B,Option B,Option C,Option A,Option C,Option C,Option C,Option A,Option B,No,Option C,61.88,UID-97348,No
873368,UID-70649,Yes,Yes,No,54,No,Option C,Option B,Option C,Option C,Option A,Option A,Option A,Option C,Option A,No,Option A,61.67,UID-89577,No
914744,UID-89949,Yes,No,Yes,66,Yes,Option B,Option A,Option A,Option C,Option C,Option B,Option A,Option A,Option C,No,Option A,99.86,UID-18419,Yes
