ts,device,co,humidity,light,lpg,motion,smoke,temp
1595145556.74,Option B,0.01,95.86,Yes,0.01,Yes,0.04,14.09
1594936074.22,Option B,0.0,98.22,No,0.01,Yes,0.03,30.05
1594582443.89,Option A,0.01,73.81,No,0.01,Yes,0.05,20.91
1595144217.7,Option A,0.01,7.31,No,0.01,No,0.04,9.95
1594932650.73,Option A,0.0,21.4,Yes,0.01,Yes,0.02,20.61
1595013353.69,Option B,0.0,42.49,Yes,0.02,Yes,0.04,26.82
1594952136.65,Option C,0.01,60.36,No,0.01,No,0.02,8.26
1594738978.21,Option C,0.01,6.88,Yes,0.01,No,0.02,20.19
1595114571.4,Option C,0.0,56.82,Yes,0.0,No,0.03,29.69
1594922363.85,Option A,0.01,97.38,No,0.01,No,0.01,23.83
1594924196.76,Option C,0.01,28.73,No,0.0,No,0.02,4.54
1595174321.29,Option A,0.01,71.95,No,0.0,Yes,0.02,3.92
1594909924.31,Option A,0.0,63.62,No,0.01,No,0.04,23.4
1595173010.79,Option A,0.01,48.09,Yes,0.0,Yes,0.03,5.02
1595008349.15,Option C,0.0,31.42,No,0.01,Yes,0.03,0.24
1594725331.49,Option B,0.01,82.29,No,0.0,Yes,0.04,13.54
1594715152.89,Option B,0.0,14.67,Yes,0.01,Yes,0.02,7.62
1595168284.64,Option C,0.01,83.89,Yes,0.0,Yes,0.04,8.75
1594687818.41,Option C,0.0,94.23,Yes,0.01,No,0.02,16.75
1594784443.96,Option C,0.0,54.27,No,0.01,No,0.02,27.73
1594798966.87,Option A,0.0,79.74,No,0.01,Yes,0.02,3.8
1594837744.32,Option A,0.0,66.54,No,0.01,Yes,0.03,9.85
1595119445.13,Option B,0.0,4.51,No,0.0,Yes,0.04,11.11
1595129072.55,Option A,0.01,19.59,No,0.01,Yes,0.01,7.7
1594524662.01,Option A,0.01,65.89,Yes,0.0,No,0.04,3.52
1594611701.55,Option C,0.01,44.8,Yes,0.01,Yes,0.04,2.61
1594943714.53,Option C,0.01,2.81,Yes,0.01,No,0.05,25.43
1594641843.36,Option C,0.01,98.99,Yes,0.0,No,0.02,5.43
1595009361.85,Option B,0.01,9.71,Yes,0.01,No,0.02,2.91
1594516317.29,Option C,0.01,43.85,Yes,0.01,No,0.01,28.35
1595184649.19,Option C,0.01,10.93,Yes,0.01,Yes,0.03,23.84
1595132836.82,Option B,0.01,89.16,Yes,0.01,Yes,0.02,6.8
1594865657.82,Option A,0.01,10.53,No,0.0,Yes,0.01,23.6
1595093825.34,Option C,0.01,7.23,No,0.01,Yes,0.04,29.55
1594927025.58,Option C,0.0,95.91,Yes,0.0,Yes,0.04,26.64
1594727109.88,Option C,0.01,69.76,No,0.01,No,0.02,28.72
1594981425.86,Option A,0.0,30.04,No,0.0,Yes,0.04,29.68
1594546217.96,Option A,0.01,32.07,Yes,0.01,Yes,0.05,19.67
1594987643.99,Option C,0.01,51.39,Yes,0.02,No,0.02,5.16
1595003921.61,Option B,0.01,17.14,No,0.01,Yes,0.03,13.88
1594686858.57,Option C,0.01,27.34,No,0.01,No,0.04,24.95
1594836127.77,Option C,0.01,73.94,No,0.01,Yes,0.01,12.98
1595193338.91,Option A,0.01,29.71,No,0.02,Yes,0.03,28.64
1595174467.19,Option B,0.0,33.3,No,0.02,No,0.04,26.17
1594707976.94,Option A,0.01,72.17,Yes,0.01,Yes,0.01,17.39
1594672861.02,Option C,0.01,6.41,Yes,0.01,Yes,0.02,0.95
1595069394.14,Option B,0.0,41.36,Yes,0.01,Yes,0.03,22.02
1594767610.81,Option B,0.01,33.62,No,0.01,Yes,0.01,20.91
1595184608.78,Option A,0.0,75.41,Yes,0.02,Yes,0.05,22.54
1594551256.8,Option B,0.01,13.44,No,0.01,Yes,0.01,19.81
1595049965.0,Option B,0.01,83.51,Yes,0.0,Yes,0.02,5.28
1594689380.39,Option A,0.01,91.49,No,0.01,Yes,0.01,26.38
1594934258.2,Option B,0.01,61.41,No,0.01,Yes,0.04,24.71
1594948591.3,Option A,0.01,71.7,No,0.01,Yes,0.02,20.72
1594748286.53,Option B,0.01,93.25,No,0.02,Yes,0.02,10.04
1594564106.51,Option B,0.0,78.18,No,0.01,Yes,0.02,7.09
1594946944.81,Option B,0.01,94.64,Yes,0.01,Yes,0.02,27.28
1595072257.86,Option B,0.0,1.86,No,0.01,Yes,0.04,22.07
1595114137.41,Option B,0.0,91.18,No,0.01,Yes,0.02,28.79
1594812243.97,Option B,0.01,3.45,Yes,0.01,Yes,0.01,8.86
1594693054.48,Option C,0.01,78.17,Yes,0.0,Yes,0.02,27.01
1595037606.58,Option B,0.0,81.51,Yes,0.01,No,0.03,22.2
1595096042.7,Option A,0.01,98.35,No,0.01,Yes,0.05,6.54
1595182975.14,Option C,0.01,70.45,No,0.0,Yes,0.03,3.22
1595169299.09,Option B,0.01,60.99,No,0.01,No,0.04,3.82
1594967742.75,Option B,0.01,64.96,No,0.01,No,0.03,23.44
1594617775.32,Option B,0.01,80.63,No,0.01,Yes,0.04,6.17
1595139080.1,Option A,0.0,79.99,No,0.01,Yes,0.03,5.68
1595101790.18,Option B,0.01,56.52,No,0.0,Yes,0.04,16.94
1594536063.16,Option C,0.0,29.19,No,0.02,Yes,0.02,8.03
1594957845.7,Option A,0.0,61.26,Yes,0.01,Yes,0.03,9.63
1595121186.19,Option B,0.01,36.72,No,0.01,No,0.01,2.1
1594840372.17,Option A,0.01,69.85,No,0.01,No,0.02,27.87
1594807293.94,Option B,0.01,90.31,No,0.01,Yes,0.04,30.06
1594741963.55,Option A,0.01,43.67,Yes,0.02,Yes,0.04,14.49
1594519625.53,Option B,0.0,79.02,No,0.01,No,0.02,0.31
1594674962.25,Option B,0.0,84.21,Yes,0.01,No,0.04,15.84
1594592051.91,Option B,0.01,33.39,Yes,0.01,No,0.03,19.0
1594601482.34,Option B,0.0,81.24,No,0.01,Yes,0.01,12.15
1595138725.0,Option A,0.01,77.59,No,0.01,No,0.04,17.02
1594839498.21,Option A,0.01,68.11,Yes,0.01,No,0.04,2.55
1594766261.06,Option A,0.01,84.06,Yes,0.01,Yes,0.02,28.23
1595002740.18,Option A,0.0,26.15,Yes,0.01,Yes,0.04,22.44
1594827890.65,Option A,0.01,57.13,Yes,0.0,No,0.03,11.06
1594598955.26,Option A,0.01,22.53,Yes,0.01,Yes,0.02,30.22
1594765663.48,Option B,0.01,96.03,No,0.0,No,0.03,10.74
1594818975.41,Option A,0.01,25.88,No,0.01,Yes,0.02,23.37
1595104185.16,Option A,0.0,30.07,Yes,0.0,No,0.02,7.83
1594876801.14,Option A,0.0,71.63,No,0.01,Yes,0.04,2.11
1594766540.52,Option C,0.01,53.55,No,0.0,Yes,0.03,15.85
1594911383.12,Option B,0.01,62.44,Yes,0.02,No,0.03,1.05
1595176149.25,Option B,0.01,8.56,Yes,0.01,Yes,0.03,24.12
1594743717.35,Option C,0.01,98.74,Yes,0.01,No,0.03,13.08
1594779090.25,Option C,0.0,74.4,Yes,0.01,Yes,0.03,0.87
1595146215.42,Option B,0.01,83.92,Yes,0.0,No,0.04,5.63
1594843922.19,Option A,0.0,4.91,Yes,0.01,Yes,0.05,27.44
1595175544.55,Option C,0.01,31.57,Yes,0.0,No,0.02,28.78
1594746675.38,Option B,0.01,19.42,Yes,0.02,Yes,0.04,24.27
1595067103.1,Option B,0.01,27.0,No,0.02,No,0.04,7.98
1594904394.24,Option A,0.01,95.87,No,0.01,No,0.04,3.52
1594753164.06,Option B,0.01,35.17,No,0.0,No,0.03,2.52
1595056228.91,Option B,0.0,76.7,No,0.01,No,0.03,4.92
1594660597.05,Option C,0.01,62.24,No,0.01,No,0.02,6.52
1595072097.69,Option B,0.01,82.7,No,0.0,No,0.04,4.65
1594689023.56,Option B,0.0,23.93,No,0.01,No,0.01,14.76
1594901163.92,Option C,0.0,86.56,No,0.01,No,0.04,25.59
1595071617.37,Option B,0.01,94.18,No,0.01,Yes,0.03,17.68
1594949123.48,Option B,0.01,24.75,No,0.01,No,0.02,29.46
1595118570.44,Option B,0.01,32.55,No,0.01,Yes,0.02,13.64
1594898825.56,Option A,0.0,44.66,No,0.01,No,0.02,15.95
1594516892.07,Option C,0.01,67.63,Yes,0.01,No,0.02,9.74
1594617352.48,Option B,0.0,57.27,No,0.0,No,0.02,23.93
1594531505.99,Option C,0.01,91.82,No,0.01,Yes,0.04,14.37
1594567411.07,Option A,0.01,84.15,No,0.0,No,0.01,26.12
1595118588.72,Option A,0.01,64.57,Yes,0.01,No,0.01,8.24
1594800429.3,Option B,0.01,73.16,Yes,0.01,No,0.04,23.76
1594589424.35,Option A,0.01,48.09,Yes,0.01,Yes,0.04,21.6
1595060285.56,Option A,0.01,32.97,No,0.01,No,0.02,3.86
1594847712.59,Option C,0.01,53.49,Yes,0.01,Yes,0.02,17.05
1594911269.8,Option A,0.01,39.35,No,0.02,No,0.04,20.82
1594647302.64,Option A,0.01,26.23,Yes,0.01,No,0.04,7.93
1594854831.45,Option B,0.0,62.98,No,0.01,Yes,0.03,15.81
1595156781.82,Option B,0.01,93.08,No,0.01,No,0.03,8.78
1594642392.39,Option A,0.01,40.05,No,0.0,Yes,0.03,12.47
1594732617.17,Option C,0.0,75.26,Yes,0.01,Yes,0.02,5.94
1595107544.81,Option B,0.0,87.16,No,0.0,No,0.02,12.58
1595178311.92,Option C,0.0,67.7,No,0.0,No,0.05,19.95
1594844027.48,Option C,0.01,36.23,No,0.0,No,0.01,11.09
1594555324.63,Option C,0.01,39.77,No,0.0,Yes,0.04,11.63
1594636438.03,Option B,0.0,97.1,No,0.01,Yes,0.03,15.7
1594982088.89,Option A,0.0,67.83,No,0.01,No,0.02,29.13
1594779092.36,Option A,0.01,21.8,Yes,0.01,No,0.01,15.17
1594916172.91,Option C,0.01,6.74,No,0.01,Yes,0.01,4.45
1594577662.31,Option C,0.01,15.11,No,0.01,No,0.01,8.49
1595131912.06,Option C,0.01,20.78,No,0.01,Yes,0.03,17.13
1595173674.81,Option C,0.01,66.18,Yes,0.01,Yes,0.04,4.08
1594772816.56,Option C,0.0,12.59,No,0.02,Yes,0.02,22.15
1595109293.24,Option A,0.01,81.9,Yes,0.01,No,0.01,2.43
1594782909.6,Option A,0.0,76.43,No,0.0,No,0.02,19.93
1595197980.48,Option A,0.0,87.96,Yes,0.01,Yes,0.04,16.11
1594595509.25,Option C,0.01,33.69,No,0.01,No,0.04,6.54
1594693261.59,Option C,0.01,53.58,Yes,0.01,Yes,0.03,10.86
1594881911.51,Option B,0.01,21.85,Yes,0.0,Yes,0.01,18.07
1594864969.54,Option B,0.0,25.38,No,0.01,Yes,0.03,23.76
1595023528.63,Option B,0.01,32.83,No,0.01,No,0.03,22.49
1594784859.45,Option C,0.0,77.83,Yes,0.02,No,0.01,3.02
1595012233.94,Option B,0.0,28.92,No,0.01,No,0.02,28.85
1594549094.27,Option C,0.01,35.65,Yes,0.01,Yes,0.02,0.92
1594630369.31,Option A,0.01,25.26,No,0.0,No,0.04,10.11
1594647864.08,Option B,0.01,51.38,Yes,0.01,Yes,0.03,2.19
1594970855.64,Option B,0.01,40.6,No,0.01,No,0.04,10.1
1594772429.21,Option A,0.01,49.16,No,0.01,Yes,0.04,11.58
1595068257.43,Option A,0.01,51.84,No,0.01,No,0.03,8.79
1594912641.55,Option B,0.01,6.71,No,0.01,Yes,0.04,6.49
1594788468.4,Option B,0.01,20.29,Yes,0.01,Yes,0.02,29.11
1595158641.78,Option B,0.01,88.28,No,0.01,No,0.04,24.04
1594813768.84,Option B,0.0,62.99,Yes,0.01,No,0.01,13.1
1594850781.83,Option C,0.01,86.26,Yes,0.01,No,0.02,22.43
1595065637.52,Option C,0.01,80.74,No,0.02,No,0.03,5.35
1594611673.37,Option A,0.01,45.06,Yes,0.01,No,0.03,27.64
1594876115.15,Option B,0.01,53.41,Yes,0.01,Yes,0.01,3.51
1594927650.03,Option A,0.01,71.55,No,0.01,No,0.04,16.77
1595035197.93,Option C,0.01,97.6,Yes,0.01,Yes,0.03,10.79
1594691092.3,Option A,0.01,51.26,Yes,0.01,No,0.01,2.89
1594850901.2,Option A,0.01,13.52,Yes,0.01,No,0.03,20.52
1594584347.91,Option A,0.0,99.87,No,0.01,No,0.04,19.65
1594895500.23,Option A,0.01,6.56,No,0.01,Yes,0.03,4.05
1594728640.18,Option A,0.01,76.58,No,0.01,Yes,0.01,6.73
1594598882.26,Option B,0.01,37.24,No,0.01,No,0.03,22.51
1594725921.51,Option B,0.01,59.97,No,0.02,No,0.04,21.08
1595024334.8,Option A,0.01,93.07,No,0.01,Yes,0.04,13.24
1595185057.79,Option A,0.01,94.08,No,0.01,No,0.03,4.57
1594747110.74,Option C,0.01,49.82,No,0.01,No,0.04,28.76
1594803647.34,Option B,0.01,73.29,No,0.01,No,0.04,1.03
1594681312.1,Option B,0.01,35.7,Yes,0.0,No,0.01,28.41
1594825050.33,Option C,0.01,44.02,Yes,0.01,Yes,0.03,7.29
1594725188.62,Option C,0.01,33.99,No,0.01,No,0.01,14.33
1594764072.95,Option A,0.01,61.24,Yes,0.01,No,0.04,25.68
1594677394.89,Option C,0.0,93.07,Yes,0.02,No,0.02,7.41
1594926125.05,Option A,0.01,14.92,No,0.01,No,0.03,28.67
1595147449.37,Option A,0.01,69.57,No,0.01,No,0.03,20.73
1594649932.29,Option A,0.01,19.9,No,0.01,Yes,0.01,1.66
1594953214.09,Option C,0.01,87.67,No,0.02,Yes,0.02,9.17
1595079666.8,Option C,0.01,13.1,No,0.01,No,0.02,2.14
1595154958.1,Option B,0.01,59.76,No,0.0,No,0.01,0.07
1595070847.62,Option A,0.0,45.41,No,0.01,No,0.03,19.16
1594824144.23,Option B,0.01,65.36,Yes,0.0,No,0.02,22.72
1594732852.05,Option A,0.01,21.33,No,0.01,No,0.01,24.35
1594669231.99,Option C,0.01,55.63,Yes,0.01,Yes,0.03,14.05
1594938917.3,Option B,0.01,40.82,No,0.02,No,0.02,21.12
1594967028.55,Option C,0.01,12.03,No,0.01,Yes,0.04,24.88
1594990832.81,Option C,0.01,39.44,Yes,0.01,Yes,0.05,28.31
1594625270.15,Option A,0.01,98.75,Yes,0.01,No,0.04,7.54
1594671496.09,Option C,0.01,50.17,No,0.01,No,0.03,15.3
1594812861.97,Option C,0.01,33.28,No,0.01,Yes,0.04,9.27
1594715686.29,Option C,0.01,80.59,Yes,0.01,No,0.03,15.85
1594534272.85,Option A,0.01,19.95,No,0.01,No,0.02,18.19
1594788408.18,Option A,0.01,96.2,No,0.01,Yes,0.01,15.05
1594976156.52,Option C,0.01,75.23,Yes,0.01,No,0.02,15.92
1594778148.85,Option A,0.0,62.03,Yes,0.02,No,0.03,26.58
1594938593.6,Option C,0.01,62.1,No,0.02,No,0.01,10.62
1594950426.42,Option C,0.0,43.49,No,0.0,No,0.01,19.6
1594902060.8,Option A,0.01,47.35,No,0.01,Yes,0.03,3.49
1594800651.79,Option A,0.01,83.39,No,0.0,No,0.03,0.53
1594869059.2,Option A,0.0,46.75,No,0.01,Yes,0.01,25.0
1594629903.48,Option B,0.01,62.61,No,0.01,Yes,0.02,11.37
1595135841.39,Option A,0.0,38.57,Yes,0.01,No,0.02,7.66
1594702130.43,Option C,0.01,63.29,Yes,0.01,No,0.04,24.51
1594573721.18,Option C,0.0,1.87,No,0.02,No,0.03,28.76
1594913325.11,Option C,0.01,98.73,Yes,0.01,Yes,0.03,11.81
1594880034.15,Option C,0.01,57.6,No,0.0,No,0.05,19.52
1595127088.28,Option B,0.01,84.21,No,0.0,No,0.04,8.47
1594879667.96,Option B,0.0,88.5,No,0.01,Yes,0.03,2.95
1594684485.15,Option B,0.01,45.39,Yes,0.01,No,0.04,16.19
1594708913.89,Option B,0.01,31.18,No,0.01,No,0.02,1.4
