Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
UNKNOWN,No,Option B,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_14,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_2,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_98,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_5,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_88,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_39,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_65,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_10,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_98,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_35,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_23,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_15,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_63,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_12,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_36,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_21,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_52,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_16,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_43,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_4,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_44,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_88,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_20,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_66,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_55,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_96,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_9,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_40,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_93,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_6,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_4,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_59,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_47,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_98,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_93,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_73,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_11,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_5,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_74,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_15,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_75,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_70,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_23,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_65,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_98,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_40,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_90,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_73,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_78,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_79,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_53,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_72,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_32,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_36,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_86,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_12,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_16,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_5,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_22,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_45,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option A,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_79,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_71,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_90,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_38,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_60,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_3,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_62,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_9,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_4,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_78,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_64,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_85,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_65,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_34,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option B,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_32,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_20,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_68,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_71,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_77,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_56,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option C,UNKNOWN,Option C,UNKNOWN,UNKNOWN,Type_2,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_25,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option B,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_62,UNKNOWN,UNKNOWN,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Type_9,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option C,UNKNOWN,Option B,UNKNOWN,UNKNOWN,Type_78,UNKNOWN,UNKNOWN,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Type_62,UNKNOWN,Option C,UNKNOWN,UNKNOWN,UNKNOWN,Option A,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,No,Option B,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_15,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_75,UNKNOWN,Option A,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
UNKNOWN,Yes,Option A,UNKNOWN,Option A,UNKNOWN,UNKNOWN,Type_47,UNKNOWN,UNKNOWN,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Type_82,UNKNOWN,Option B,UNKNOWN,UNKNOWN,UNKNOWN,Option C,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
