Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
UID-54241,Option A,44,No,UNKNOWN,UID-74116,95982,41.02,-118.67,7,32,Option C,Yes,0,Yes,No,Option B,0,No,Yes,No,No,No,Yes,Yes,No,Option C,Yes,Option A,16.21,2128.73,42.31,79,586.02,5168.63,Option B,Option B,UID-36578
UID-30085,Option A,39,Yes,UNKNOWN,UID-73857,93510,40.17,-121.64,3,62,Option C,Yes,0,No,Yes,Option C,0,No,Yes,No,No,Yes,Yes,No,Yes,Option C,No,Option A,-9.29,1056.2,17.65,92,3184.93,3190.69,Option A,Option C,UID-46178
UID-77176,Option C,30,No,UNKNOWN,UID-61008,93832,34.56,-120.08,2,57,Option A,Yes,0,No,Yes,Option A,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Option A,No,Option B,15.86,7794.02,19.74,108,2199.23,7639.45,Option B,Option A,UID-39913
UID-63841,Option C,45,No,UNKNOWN,UID-54651,90312,40.54,-118.78,5,17,Option B,Yes,0,Yes,No,Option A,0,No,No,Yes,Yes,No,No,No,No,Option C,No,Option A,67.82,2250.81,21.86,101,2111.36,10070.44,Option A,Option B,UID-43306
UID-50899,Option A,19,No,UNKNOWN,UID-27595,92193,33.28,-114.44,11,56,Option A,No,0,No,No,Option B,0,Yes,No,No,No,Yes,Yes,Yes,Yes,Option B,Yes,Option B,35.0,7491.45,35.37,54,2539.01,9811.79,Option B,Option B,UID-27791
UID-41725,Option A,71,No,UNKNOWN,UID-65860,93750,41.95,-119.09,6,68,Option C,Yes,0,Yes,Yes,Option C,0,No,No,No,No,No,No,Yes,No,Option A,No,Option C,90.14,5566.17,23.09,147,1316.83,3800.91,Option C,Option C,UID-66194
UID-54214,Option C,32,No,UNKNOWN,UID-97097,94242,34.84,-121.83,8,66,Option B,Yes,0,No,Yes,Option C,0,Yes,No,Yes,Yes,Yes,No,Yes,No,Option A,Yes,Option B,72.09,8629.34,26.62,107,523.8,1048.5,Option C,Option A,UID-95843
UID-91692,Option B,61,No,UNKNOWN,UID-78261,90027,38.27,-119.35,5,15,Option A,No,0,No,No,Option C,0,No,No,Yes,No,Yes,Yes,Yes,No,Option A,Yes,Option A,41.35,40.67,24.04,12,949.21,11622.21,Option C,Option C,UID-47451
UID-53911,Option B,52,Yes,UNKNOWN,UID-49914,93745,40.69,-115.16,2,58,Option A,Yes,0,Yes,Yes,Option A,0,No,Yes,Yes,Yes,No,Yes,No,No,Option B,No,Option C,109.07,7995.51,1.89,41,1822.2,10055.74,Option C,Option A,UID-35427
UID-48832,Option C,71,No,UNKNOWN,UID-39006,94456,41.23,-118.65,0,37,Option C,No,0,No,Yes,Option C,0,Yes,No,No,No,No,Yes,Yes,Yes,Option A,No,Option A,94.78,2934.27,13.96,56,1304.89,9808.87,Option C,Option A,UID-17541
UID-92507,Option C,62,Yes,UNKNOWN,UID-23352,90289,33.08,-118.7,7,35,Option B,Yes,0,Yes,No,Option B,0,Yes,No,Yes,No,Yes,No,No,Yes,Option C,Yes,Option A,52.57,2432.53,9.53,52,2298.13,6020.24,Option B,Option C,UID-64151
UID-82450,Option B,28,No,UNKNOWN,UID-60272,93483,38.71,-120.48,1,44,Option A,No,0,Yes,No,Option B,0,Yes,No,Yes,Yes,No,No,No,No,Option A,No,Option A,101.23,1339.09,45.97,111,751.87,4334.36,Option A,Option A,UID-47157
UID-35676,Option B,76,Yes,UNKNOWN,UID-24110,93308,35.12,-124.17,11,49,Option B,No,0,No,Yes,Option A,0,Yes,Yes,No,Yes,No,No,No,Yes,Option A,No,Option A,113.71,3096.82,4.31,125,2121.58,3312.15,Option C,Option C,UID-36304
UID-78854,Option B,72,No,UNKNOWN,UID-19951,94986,33.56,-117.44,11,44,Option A,No,0,No,No,Option A,0,No,Yes,No,Yes,Yes,No,No,No,Option C,Yes,Option C,7.23,3480.66,29.53,22,598.52,9912.98,Option C,Option C,UID-47894
UID-32881,Option C,51,No,UNKNOWN,UID-75318,90544,38.92,-118.42,11,54,Option C,Yes,0,Yes,No,Option B,0,No,No,No,Yes,No,No,Yes,Yes,Option A,Yes,Option B,61.89,291.51,21.91,2,2051.03,3779.2,Option B,Option C,UID-39510
UID-85844,Option B,72,No,UNKNOWN,UID-86826,93144,37.21,-120.14,6,44,Option B,No,0,Yes,Yes,Option B,0,Yes,No,No,Yes,No,No,No,No,Option B,No,Option B,-2.98,1637.23,28.6,32,2737.05,1754.84,Option B,Option A,UID-59114
UID-97266,Option A,47,No,UNKNOWN,UID-19975,94361,39.71,-114.86,4,72,Option A,Yes,0,No,Yes,Option C,0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Option A,No,Option A,103.97,2804.44,22.99,112,1538.76,11027.33,Option C,Option C,UID-32563
UID-44519,Option B,75,No,UNKNOWN,UID-11136,90387,41.43,-121.61,9,72,Option B,Yes,0,No,No,Option B,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Option B,No,Option B,24.43,5310.45,29.5,18,2153.92,11395.02,Option C,Option B,UID-64966
UID-89218,Option B,48,Yes,UNKNOWN,UID-77493,95777,33.98,-118.57,2,3,Option C,No,0,No,No,Option A,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Option A,No,Option B,51.42,4034.36,17.47,69,501.85,5704.64,Option B,Option C,UID-98583
UID-99195,Option A,72,Yes,UNKNOWN,UID-83593,93106,40.75,-116.36,8,14,Option B,Yes,0,Yes,Yes,Option C,0,No,Yes,No,No,Yes,No,No,No,Option C,Yes,Option C,1.05,719.9,30.34,128,1689.92,768.67,Option C,Option C,UID-38744
UID-34356,Option C,45,Yes,UNKNOWN,UID-24956,95326,34.64,-117.37,4,64,Option C,Yes,0,No,Yes,Option B,0,Yes,No,Yes,Yes,Yes,Yes,No,No,Option B,Yes,Option B,45.23,4238.34,4.71,112,1304.91,4760.78,Option C,Option C,UID-59027
UID-30608,Option A,80,Yes,UNKNOWN,UID-87549,93477,36.98,-119.39,4,1,Option A,Yes,0,No,No,Option B,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Option C,No,Option B,60.15,5884.23,35.62,147,3302.26,3081.5,Option C,Option A,UID-76723
UID-73983,Option C,65,No,UNKNOWN,UID-89293,93554,35.04,-120.48,6,33,Option C,No,0,Yes,Yes,Option A,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Option A,Yes,Option B,-2.2,5122.85,26.2,102,2343.3,5622.74,Option B,Option A,UID-27365
UID-84527,Option B,65,No,UNKNOWN,UID-10524,90346,36.86,-123.91,6,55,Option A,Yes,0,No,No,Option B,0,Yes,Yes,No,Yes,Yes,Yes,No,No,Option C,No,Option A,-5.86,2879.46,34.29,74,2645.25,169.74,Option B,Option B,UID-31414
UID-17567,Option B,38,Yes,UNKNOWN,UID-52765,93008,38.92,-119.45,11,25,Option A,Yes,0,No,Yes,Option B,0,No,No,Yes,Yes,Yes,Yes,No,No,Option B,Yes,Option C,19.72,2685.6,32.52,72,1672.53,4358.27,Option A,Option B,UID-60807
UID-92905,Option B,19,Yes,UNKNOWN,UID-24101,91747,34.91,-120.53,0,43,Option A,Yes,0,Yes,No,Option A,0,Yes,No,Yes,No,No,Yes,No,Yes,Option A,Yes,Option C,12.52,3802.89,27.56,111,2573.0,10047.96,Option A,Option B,UID-53993
UID-85132,Option A,39,Yes,UNKNOWN,UID-76662,92183,35.89,-118.82,7,63,Option A,Yes,0,No,No,Option C,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Option C,Yes,Option C,97.03,4002.88,16.86,140,3042.27,3369.25,Option C,Option C,UID-85783
UID-25259,Option A,56,No,UNKNOWN,UID-50102,93728,38.33,-123.92,6,58,Option B,Yes,0,No,Yes,Option C,0,Yes,No,No,No,No,No,Yes,Yes,Option A,Yes,Option A,46.81,7714.1,7.33,100,2547.22,9637.57,Option A,Option A,UID-68781
UID-92051,Option B,43,No,UNKNOWN,UID-93832,90476,41.29,-123.15,5,7,Option B,No,0,No,No,Option C,0,No,Yes,Yes,Yes,No,No,Yes,No,Option C,Yes,Option A,46.6,6128.94,47.77,114,2283.28,8289.32,Option C,Option A,UID-27231
UID-61694,Option A,29,No,UNKNOWN,UID-79446,95806,39.38,-114.55,5,48,Option C,Yes,0,No,Yes,Option B,0,No,Yes,No,No,Yes,Yes,No,Yes,Option B,No,Option C,-7.12,6575.82,49.52,95,952.82,10222.62,Option C,Option A,UID-73701
UID-78893,Option C,66,No,UNKNOWN,UID-13074,95398,38.49,-116.92,10,1,Option C,No,0,Yes,Yes,Option B,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Option C,Yes,Option C,41.28,7906.98,24.1,6,1792.36,6736.33,Option C,Option B,UID-62398
UID-15666,Option B,49,Yes,UNKNOWN,UID-56514,92587,34.35,-120.04,3,2,Option C,No,0,Yes,No,Option A,0,Yes,No,No,Yes,Yes,Yes,No,Yes,Option C,No,Option B,28.94,5038.34,20.37,38,2883.46,6199.38,Option B,Option C,UID-57315
UID-49249,Option B,40,No,UNKNOWN,UID-30048,93051,40.17,-121.23,3,11,Option C,Yes,0,No,Yes,Option A,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Option B,No,Option B,27.19,3939.58,34.69,78,1363.2,5274.56,Option B,Option C,UID-77992
UID-22596,Option A,20,No,UNKNOWN,UID-48161,93180,32.89,-115.17,3,24,Option B,Yes,0,Yes,No,Option B,0,No,No,No,Yes,No,Yes,Yes,No,Option A,Yes,Option A,50.75,2871.18,38.97,121,159.45,10979.28,Option A,Option A,UID-12331
UID-28500,Option B,72,No,UNKNOWN,UID-67658,93163,39.25,-117.34,1,69,Option A,Yes,0,No,No,Option C,0,Yes,No,Yes,No,Yes,No,Yes,No,Option A,Yes,Option C,81.86,7263.3,45.87,6,278.44,1066.68,Option B,Option C,UID-13051
UID-29497,Option B,37,Yes,UNKNOWN,UID-17045,90563,32.73,-116.9,8,69,Option B,No,0,No,No,Option A,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Option C,Yes,Option A,12.69,5707.31,1.04,64,1993.52,4181.67,Option C,Option C,UID-66380
UID-14939,Option B,80,No,UNKNOWN,UID-87452,94122,40.62,-115.44,2,55,Option C,No,0,No,Yes,Option C,0,Yes,Yes,Yes,No,No,No,No,No,Option B,No,Option C,0.48,3526.42,27.54,74,3307.1,9777.09,Option C,Option A,UID-27154
UID-47867,Option C,71,Yes,UNKNOWN,UID-52070,90479,41.21,-116.23,11,1,Option B,No,0,Yes,Yes,Option C,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Option C,No,Option A,45.77,2438.8,8.16,110,545.72,10713.6,Option A,Option A,UID-93521
UID-76396,Option B,22,No,UNKNOWN,UID-63824,94798,36.81,-119.46,3,31,Option C,Yes,0,No,No,Option A,0,No,No,No,Yes,Yes,Yes,No,Yes,Option B,Yes,Option A,5.89,3857.32,43.07,10,1935.98,881.55,Option A,Option A,UID-88667
UID-89729,Option C,64,Yes,UNKNOWN,UID-30824,94106,38.74,-123.57,10,18,Option C,No,0,No,No,Option A,0,No,No,No,No,No,Yes,No,Yes,Option B,Yes,Option C,18.18,135.94,7.99,139,3146.51,2563.31,Option A,Option A,UID-53286
UID-66901,Option A,37,No,UNKNOWN,UID-63284,91998,37.87,-121.09,10,2,Option A,Yes,0,No,No,Option A,0,Yes,Yes,No,Yes,No,Yes,Yes,No,Option C,No,Option A,38.62,394.45,1.97,15,1494.95,9308.27,Option C,Option B,UID-86411
UID-94761,Option C,31,No,UNKNOWN,UID-83235,93981,41.11,-118.33,5,42,Option C,Yes,0,No,No,Option C,0,No,No,Yes,Yes,No,No,Yes,Yes,Option C,Yes,Option B,88.43,6836.61,12.09,22,1935.83,576.61,Option A,Option C,UID-72757
UID-24291,Option C,78,Yes,UNKNOWN,UID-14752,93555,39.35,-117.62,10,10,Option B,No,0,No,Yes,Option B,0,No,Yes,No,No,No,Yes,No,Yes,Option C,Yes,Option B,59.53,7483.97,7.59,7,518.93,211.36,Option A,Option A,UID-62716
UID-65924,Option C,58,No,UNKNOWN,UID-78343,92676,34.01,-120.07,0,15,Option A,No,0,Yes,No,Option A,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Option B,Yes,Option C,104.2,3745.57,14.62,15,410.75,5858.93,Option B,Option B,UID-31829
UID-48482,Option A,44,Yes,UNKNOWN,UID-92971,94375,40.68,-120.07,9,1,Option C,No,0,Yes,Yes,Option C,0,No,Yes,No,No,No,No,Yes,No,Option A,Yes,Option C,115.29,2615.18,43.67,114,2562.94,6590.72,Option C,Option A,UID-92435
UID-96829,Option C,48,No,UNKNOWN,UID-46163,95040,38.38,-121.6,2,54,Option C,Yes,0,No,Yes,Option B,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Option C,No,Option B,33.18,1719.11,19.03,35,1036.89,9475.19,Option A,Option C,UID-79654
UID-14421,Option B,68,No,UNKNOWN,UID-38484,90881,39.49,-122.24,0,6,Option B,No,0,Yes,No,Option A,0,No,No,Yes,Yes,No,Yes,No,Yes,Option B,No,Option A,20.61,7646.88,20.0,110,2897.96,11845.43,Option A,Option A,UID-27537
UID-74591,Option C,37,No,UNKNOWN,UID-28349,94970,34.5,-122.69,7,69,Option B,Yes,0,No,Yes,Option A,0,No,No,Yes,No,Yes,No,Yes,Yes,Option A,No,Option A,89.0,5753.3,46.22,74,3121.12,5997.59,Option C,Option A,UID-67161
UID-55130,Option C,62,Yes,UNKNOWN,UID-96220,90644,35.97,-115.82,1,34,Option A,No,0,No,Yes,Option C,0,Yes,Yes,No,No,Yes,No,Yes,No,Option A,Yes,Option B,9.86,6062.7,18.63,12,170.31,8280.56,Option A,Option C,UID-55371
UID-86934,Option C,45,No,UNKNOWN,UID-84571,91138,39.9,-120.0,1,21,Option A,No,0,Yes,Yes,Option B,0,No,Yes,Yes,Yes,No,Yes,Yes,No,Option C,No,Option C,96.39,6642.13,6.47,65,2698.64,10192.19,Option B,Option A,UID-55853
UID-52467,Option C,44,No,UNKNOWN,UID-57691,93895,38.08,-118.37,10,59,Option B,Yes,0,Yes,Yes,Option B,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Option C,No,Option A,84.43,887.58,43.53,128,3037.44,10501.79,Option A,Option C,UID-18443
UID-30837,Option C,30,Yes,UNKNOWN,UID-98689,91648,38.9,-116.93,9,57,Option C,Yes,0,Yes,No,Option A,0,No,No,Yes,No,Yes,No,No,Yes,Option B,Yes,Option A,18.54,2349.76,22.41,36,916.84,4548.33,Option A,Option C,UID-77035
UID-32114,Option B,37,No,UNKNOWN,UID-23373,90674,38.14,-117.34,1,4,Option C,No,0,No,No,Option B,0,Yes,Yes,No,No,No,No,No,No,Option B,No,Option B,53.1,388.71,10.45,19,1836.49,6701.15,Option C,Option A,UID-99263
UID-78235,Option A,36,No,UNKNOWN,UID-36339,92595,35.73,-114.95,4,54,Option C,No,0,No,No,Option C,0,No,Yes,No,No,Yes,No,Yes,No,Option A,No,Option C,35.09,247.38,27.56,67,1237.62,11872.31,Option B,Option C,UID-71705
UID-77407,Option B,38,Yes,UNKNOWN,UID-64360,91153,39.66,-120.78,6,25,Option B,Yes,0,Yes,Yes,Option C,0,Yes,Yes,No,No,Yes,No,Yes,No,Option C,No,Option C,24.18,6829.37,40.51,17,1127.07,4659.54,Option A,Option C,UID-73065
UID-76779,Option A,44,No,UNKNOWN,UID-74788,91858,39.99,-116.03,5,2,Option C,No,0,No,No,Option B,0,No,Yes,No,Yes,No,Yes,No,No,Option C,No,Option B,22.32,943.91,33.27,66,3183.99,6560.06,Option C,Option B,UID-50199
UID-95000,Option B,31,No,UNKNOWN,UID-41007,94780,35.93,-120.56,10,20,Option C,Yes,0,Yes,Yes,Option B,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Option A,No,Option A,82.19,455.71,18.03,81,3498.06,8613.78,Option B,Option C,UID-66726
UID-42534,Option A,41,Yes,UNKNOWN,UID-28012,95896,41.0,-115.73,9,47,Option A,No,0,Yes,No,Option B,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Option B,Yes,Option A,22.39,5818.0,18.67,47,835.29,9788.08,Option B,Option C,UID-12354
UID-24198,Option C,31,No,UNKNOWN,UID-29172,95711,38.65,-116.4,4,55,Option A,No,0,Yes,Yes,Option C,0,Yes,No,No,No,Yes,Yes,Yes,No,Option C,Yes,Option B,107.13,1639.62,42.13,80,746.18,6318.73,Option B,Option C,UID-10521
UID-72977,Option C,65,No,UNKNOWN,UID-81463,93963,38.26,-123.51,2,38,Option A,Yes,0,Yes,Yes,Option C,0,Yes,No,No,No,Yes,Yes,No,No,Option C,Yes,Option C,48.75,2326.63,14.27,111,742.57,857.69,Option B,Option A,UID-64327
UID-78643,Option A,67,No,UNKNOWN,UID-97302,94619,41.1,-121.82,10,6,Option A,No,0,Yes,No,Option C,0,No,No,Yes,Yes,Yes,No,Yes,No,Option B,No,Option A,51.03,3653.29,11.71,79,191.48,2762.18,Option B,Option A,UID-98145
UID-85856,Option C,32,No,UNKNOWN,UID-76462,91477,35.83,-117.01,0,26,Option C,Yes,0,No,Yes,Option B,0,Yes,Yes,Yes,No,No,No,Yes,Yes,Option A,Yes,Option A,-0.81,3440.91,21.0,38,1600.9,8387.97,Option A,Option C,UID-87535
UID-30103,Option A,44,Yes,UNKNOWN,UID-30383,92630,35.95,-117.64,0,70,Option B,Yes,0,No,Yes,Option A,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Option A,No,Option A,5.37,8301.4,44.24,2,350.04,7967.44,Option B,Option B,UID-64125
UID-70058,Option A,21,No,UNKNOWN,UID-29593,91255,39.19,-114.39,9,1,Option B,No,0,Yes,Yes,Option A,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Option C,No,Option C,87.5,2366.22,21.8,1,728.7,9468.96,Option A,Option B,UID-37946
UID-57905,Option B,63,Yes,UNKNOWN,UID-29287,93920,37.94,-115.23,8,68,Option C,Yes,0,Yes,No,Option C,0,Yes,No,No,No,No,Yes,Yes,Yes,Option A,No,Option C,92.23,7690.67,49.55,32,1435.45,3998.02,Option A,Option C,UID-69431
UID-22573,Option B,59,No,UNKNOWN,UID-69646,94016,39.42,-124.1,11,37,Option A,Yes,0,No,No,Option C,0,No,Yes,No,Yes,No,Yes,Yes,No,Option B,Yes,Option A,-9.94,5878.88,10.1,102,1982.01,9608.78,Option B,Option C,UID-59970
UID-19847,Option B,79,Yes,UNKNOWN,UID-43502,92510,34.83,-123.03,2,25,Option C,Yes,0,Yes,Yes,Option B,0,Yes,No,No,Yes,No,No,No,Yes,Option A,No,Option B,15.73,3528.54,34.77,50,1159.35,1169.6,Option C,Option A,UID-74009
UID-64492,Option C,56,No,UNKNOWN,UID-97367,92881,37.84,-121.18,6,61,Option B,Yes,0,No,No,Option C,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Option C,No,Option A,13.46,4970.53,9.98,10,1361.61,7310.63,Option C,Option B,UID-70686
UID-35997,Option B,49,No,UNKNOWN,UID-63540,93295,35.48,-122.28,10,67,Option C,No,0,Yes,Yes,Option C,0,No,Yes,Yes,Yes,No,Yes,No,No,Option B,No,Option B,116.65,1100.33,3.48,75,2372.1,3697.45,Option C,Option A,UID-34504
UID-66452,Option C,50,No,UNKNOWN,UID-71167,93776,33.37,-121.01,5,53,Option B,No,0,No,No,Option C,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Option B,Yes,Option B,49.18,6982.39,4.41,136,367.9,2524.4,Option B,Option C,UID-73143
UID-91746,Option B,69,No,UNKNOWN,UID-21232,95561,35.93,-121.04,1,13,Option C,Yes,0,No,Yes,Option C,0,No,Yes,No,No,No,Yes,No,No,Option C,Yes,Option B,34.73,3746.94,28.06,31,2031.73,492.45,Option A,Option C,UID-94048
UID-13284,Option A,75,No,UNKNOWN,UID-35898,93705,39.98,-115.59,10,47,Option A,No,0,No,No,Option C,0,Yes,No,No,No,No,Yes,Yes,No,Option B,No,Option C,66.64,3521.53,48.1,133,2580.09,7417.85,Option A,Option B,UID-94391
UID-71676,Option A,65,No,UNKNOWN,UID-24446,92473,34.98,-118.42,3,27,Option B,No,0,Yes,Yes,Option B,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Option C,Yes,Option C,104.56,3297.91,22.27,142,2292.43,9631.8,Option C,Option B,UID-14382
UID-28461,Option A,68,No,UNKNOWN,UID-52313,93767,39.06,-121.78,8,15,Option A,Yes,0,Yes,Yes,Option A,0,No,No,No,No,No,Yes,Yes,Yes,Option B,Yes,Option A,14.68,8266.89,36.79,116,1384.28,11946.4,Option B,Option B,UID-34974
UID-59032,Option C,51,Yes,UNKNOWN,UID-55233,93988,33.09,-119.66,1,42,Option C,Yes,0,No,No,Option B,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Option A,Yes,Option A,31.9,2591.82,38.39,31,80.24,2726.49,Option C,Option A,UID-51954
UID-96220,Option B,67,No,UNKNOWN,UID-13860,95323,33.67,-122.95,8,61,Option C,No,0,Yes,Yes,Option B,0,Yes,Yes,No,Yes,No,No,No,Yes,Option B,Yes,Option C,32.34,3980.03,4.14,150,1632.26,8710.37,Option B,Option A,UID-44927
UID-44865,Option C,22,No,UNKNOWN,UID-96174,95343,33.97,-115.66,0,22,Option B,No,0,Yes,Yes,Option A,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Option A,No,Option B,117.05,6812.57,22.15,57,2804.96,10788.79,Option C,Option B,UID-40160
UID-30518,Option C,31,No,UNKNOWN,UID-19971,93220,36.63,-119.3,10,27,Option A,Yes,0,No,Yes,Option A,0,No,Yes,No,No,No,Yes,Yes,Yes,Option B,Yes,Option B,112.05,6764.34,33.65,66,120.29,7868.19,Option B,Option A,UID-85981
UID-62640,Option C,31,Yes,UNKNOWN,UID-46587,91058,35.49,-117.79,8,57,Option B,Yes,0,No,No,Option C,0,No,No,Yes,Yes,No,No,No,Yes,Option C,No,Option C,38.26,5543.02,41.55,43,986.01,3266.66,Option C,Option A,UID-39794
UID-97077,Option A,73,No,UNKNOWN,UID-30340,94670,38.58,-118.36,5,13,Option A,No,0,No,No,Option B,0,Yes,Yes,No,Yes,No,Yes,Yes,No,Option C,No,Option A,16.72,7670.39,45.55,137,1779.51,1363.55,Option B,Option A,UID-28619
UID-88710,Option A,52,Yes,UNKNOWN,UID-37467,93279,36.41,-119.18,10,36,Option C,Yes,0,No,No,Option A,0,Yes,Yes,Yes,No,No,Yes,No,No,Option B,No,Option A,109.28,4896.49,17.41,110,1580.19,1802.27,Option C,Option A,UID-83586
UID-26774,Option C,45,Yes,UNKNOWN,UID-17827,95048,33.78,-116.7,6,47,Option A,Yes,0,No,Yes,Option A,0,No,No,No,No,No,Yes,Yes,No,Option C,Yes,Option A,72.2,6216.58,8.44,73,2410.26,6559.35,Option A,Option C,UID-83341
UID-84008,Option A,21,Yes,UNKNOWN,UID-17006,94004,41.93,-120.55,2,31,Option A,No,0,Yes,Yes,Option C,0,No,No,No,No,No,Yes,Yes,Yes,Option B,No,Option B,36.73,1106.74,3.52,114,1664.12,3198.1,Option A,Option B,UID-35282
